prompt,file,category,subcategory
Passengers inside the elevator will be ,profession_prompt.json,engineering_branches,Elevator
"National elevator standards:

Australia – AS1735
Canada – ",profession_prompt.json,engineering_branches,Elevator
Holeless hydraulic elevators were developed in ,profession_prompt.json,engineering_branches,Elevator
Inside the elevator there is no ,profession_prompt.json,engineering_branches,Elevator
This allows an elevator to be ,profession_prompt.json,engineering_branches,Elevator
Traffic Performance of Elevators with Destination ,profession_prompt.json,engineering_branches,Elevator
The strongest westerly winds in the ,profession_prompt.json,engineering_branches,Wind
If an offshore wind of ,profession_prompt.json,engineering_branches,Wind
Winds have various aspects: velocity; the ,profession_prompt.json,engineering_branches,Wind
"In Europe downwind of the Alps, ",profession_prompt.json,engineering_branches,Wind
"Wind speed is measured by anemometers, ",profession_prompt.json,engineering_branches,Wind
"During an armed conflict, a dam ",profession_prompt.json,engineering_branches,Dam
This gravity dam featured an originally ,profession_prompt.json,engineering_branches,Dam
The earliest known dam is the ,profession_prompt.json,engineering_branches,Dam
"Intended as permanent structures, steel dams ",profession_prompt.json,engineering_branches,Dam
Large reservoirs formed behind dams have ,profession_prompt.json,engineering_branches,Dam
Such a laser is known as ,profession_prompt.json,engineering_branches,Laser
Low to medium power laser diodes ,profession_prompt.json,engineering_branches,Laser
Commercial laser diodes emit at wavelengths ,profession_prompt.json,engineering_branches,Laser
"For example, the first working laser ",profession_prompt.json,engineering_branches,Laser
Commercial carbon dioxide lasers can emit ,profession_prompt.json,engineering_branches,Laser
Some metals and metal alloys possess ,profession_prompt.json,engineering_branches,Metal
"Some heavy metals have niche uses, ",profession_prompt.json,engineering_branches,Metal
The first reported metallic glass was ,profession_prompt.json,engineering_branches,Metal
"Consequently, semiconductors and nonmetals are ",profession_prompt.json,engineering_branches,Metal
The susceptibility of a polymer to ,profession_prompt.json,engineering_branches,Polymer
"A polymer is a large molecule, ",profession_prompt.json,engineering_branches,Polymer
Semi-crystalline polymers can undergo crystallization and ,profession_prompt.json,engineering_branches,Polymer
A terpolymer is a copolymer which ,profession_prompt.json,engineering_branches,Polymer
"Humans have deified lightning for millennia, ",profession_prompt.json,engineering_branches,Lightning
This effect is known as lightning-induced ,profession_prompt.json,engineering_branches,Lightning
Positive lightning has also been shown ,profession_prompt.json,engineering_branches,Lightning
The total energy of a system ,profession_prompt.json,engineering_branches,Energy
In quantum mechanics energy is expressed ,profession_prompt.json,engineering_branches,Energy
"In physics, energy is the quantitative ",profession_prompt.json,engineering_branches,Energy
"A helicopter, sometimes referred to in ",profession_prompt.json,engineering_branches,Helicopter
Helicopters were developed and built during ,profession_prompt.json,engineering_branches,Helicopter
An air ambulance helicopter is equipped ,profession_prompt.json,engineering_branches,Helicopter
In the early stages of maglev ,profession_prompt.json,engineering_branches,Maglev
Baltimore – Washington D.C. Maglev: Baltimore-Washington ,profession_prompt.json,engineering_branches,Maglev
The reverse logistics process includes the ,profession_prompt.json,engineering_branches,Logistics
Traditionally in logistics configuration may be ,profession_prompt.json,engineering_branches,Logistics
"Long RNAs, also called large RNAs, ",profession_prompt.json,engineering_branches,RNA
RNA viruses have genomes composed of ,profession_prompt.json,engineering_branches,RNA
The speed of a gas particle ,profession_prompt.json,engineering_branches,Gas
As the density of a gas ,profession_prompt.json,engineering_branches,Gas
The longest single-span escalator in a ,profession_prompt.json,engineering_branches,Escalator
"Cascade, Yerevan: an escalator system of ",profession_prompt.json,engineering_branches,Escalator
Refrigeration systems were introduced to the ,profession_prompt.json,engineering_branches,Refrigeration
The intent was to provide refrigeration ,profession_prompt.json,engineering_branches,Refrigeration
"Hitchins, D. World Class Systems Engineering at ",profession_prompt.json,engineering_branches,Systems_engineering
"US Air Force, SMC Systems Engineering Primer ",profession_prompt.json,engineering_branches,Systems_engineering
Computer Vision – Principles and ,profession_prompt.json,engineering_branches,Computer_vision
"Keith Price's Annotated Computer Vision Bibliography
CVonline Bob ",profession_prompt.json,engineering_branches,Computer_vision
Royal Engineers Museum: 19th century Irrigation ,profession_prompt.json,engineering_branches,Irrigation
