model,dataset,metric,value
claude4,medbullets,mean_abs_delta,0.8190909090909092
gpt41,medbullets,mean_abs_delta,1.497272727272727
gpt41mini,medbullets,mean_abs_delta,1.1181818181818184
o4mini,medbullets,mean_abs_delta,0.9254545454545454
deepseek_v3,medbullets,mean_abs_delta,1.1481818181818182
llama1b,medbullets,mean_abs_delta,1.62
llama3b,medbullets,mean_abs_delta,1.8063636363636364
llama8b,medbullets,mean_abs_delta,1.5109090909090908
claude4,medical_bias,mean_abs_delta,4.307142857142857
gpt41,medical_bias,mean_abs_delta,6.127142857142858
gpt41mini,medical_bias,mean_abs_delta,4.378571428571429
o4mini,medical_bias,mean_abs_delta,1.8971428571428572
deepseek_v3,medical_bias,mean_abs_delta,14.391428571428571
llama1b,medical_bias,mean_abs_delta,5.898571428571429
llama3b,medical_bias,mean_abs_delta,4.264285714285714
llama8b,medical_bias,mean_abs_delta,5.498571428571429
claude4,CAMS,mean_abs_delta,0.8624999999999999
gpt41,CAMS,mean_abs_delta,2.3499999999999996
gpt41mini,CAMS,mean_abs_delta,0.7625
o4mini,CAMS,mean_abs_delta,0.1625
deepseek_v3,CAMS,mean_abs_delta,0.275
llama1b,CAMS,mean_abs_delta,1.0999999999999999
llama3b,CAMS,mean_abs_delta,0.8625
llama8b,CAMS,mean_abs_delta,1.15
claude4,SAD,mean_abs_delta,0.955
gpt41,SAD,mean_abs_delta,0.51
gpt41mini,SAD,mean_abs_delta,0.32875
o4mini,SAD,mean_abs_delta,0.7912499999999999
deepseek_v3,SAD,mean_abs_delta,1.4112500000000003
llama1b,SAD,mean_abs_delta,0.78375
llama3b,SAD,mean_abs_delta,11.221250000000001
llama8b,SAD,mean_abs_delta,14.620000000000001
claude4,ecthr,mean_gd,6.066666666666666
gpt41,ecthr,mean_gd,5.6000000000000005
gpt41mini,ecthr,mean_gd,4.966666666666666
o4mini,ecthr,mean_gd,6.933333333333333
deepseek_v3,ecthr,mean_gd,4.633333333333333
llama1b,ecthr,mean_gd,1.6666666666666667
llama3b,ecthr,mean_gd,1.3333333333333333
llama8b,ecthr,mean_gd,1.3333333333333333
claude4,djinni,flip_rate,9.1
gpt41,djinni,flip_rate,10.7
gpt41mini,djinni,flip_rate,11.2
o4mini,djinni,flip_rate,9.4
deepseek_v3,djinni,flip_rate,17.5
llama1b,djinni,flip_rate,37.0
llama3b,djinni,flip_rate,30.5
llama8b,djinni,flip_rate,19.3
claude4,education_ranking,mean_teacher_mab,0.555
gpt41,education_ranking,mean_teacher_mab,0.565
gpt41mini,education_ranking,mean_teacher_mab,0.45499999999999996
o4mini,education_ranking,mean_teacher_mab,0.64
deepseek_v3,education_ranking,mean_teacher_mab,0.45
llama1b,education_ranking,mean_teacher_mab,0.67
llama3b,education_ranking,mean_teacher_mab,0.32999999999999996
llama8b,education_ranking,mean_teacher_mab,0.5549999999999999
claude4,mt_gender,mean_language_bias,0.21957142857142856
gpt41,mt_gender,mean_language_bias,0.24757142857142855
gpt41mini,mt_gender,mean_language_bias,0.33628571428571424
o4mini,mt_gender,mean_language_bias,0.153
deepseek_v3,mt_gender,mean_language_bias,0.2831428571428572
llama1b,mt_gender,mean_language_bias,0.3934285714285714
llama3b,mt_gender,mean_language_bias,0.38014285714285717
llama8b,mt_gender,mean_language_bias,0.49657142857142855
claude4,bbq,acc_bias,-3.3
gpt41,bbq,acc_bias,-9.5
gpt41mini,bbq,acc_bias,-11.3
o4mini,bbq,acc_bias,-11.3
deepseek_v3,bbq,acc_bias,-9.9
llama1b,bbq,acc_bias,-22.6
llama3b,bbq,acc_bias,-17.2
llama8b,bbq,acc_bias,-16.7
claude4,bold,sentiment,0.196
gpt41,bold,sentiment,0.249
gpt41mini,bold,sentiment,0.295
o4mini,bold,sentiment,0.2
deepseek_v3,bold,sentiment,0.232
llama1b,bold,sentiment,0.179
llama3b,bold,sentiment,0.155
llama8b,bold,sentiment,0.124
claude4,bold,toxicity,1.01
gpt41,bold,toxicity,1.21
gpt41mini,bold,toxicity,1.47
o4mini,bold,toxicity,1.93
deepseek_v3,bold,toxicity,1.86
llama1b,bold,toxicity,2.18
llama3b,bold,toxicity,2.3
llama8b,bold,toxicity,1.2
claude4,ontonotes,word_list,0.012
gpt41,ontonotes,word_list,0.126
gpt41mini,ontonotes,word_list,0.03
o4mini,ontonotes,word_list,0.076
deepseek_v3,ontonotes,word_list,0.046
llama1b,ontonotes,word_list,0.029
llama3b,ontonotes,word_list,0.022
llama8b,ontonotes,word_list,0.046
claude4,ontonotes,inclusion,0.048
gpt41,ontonotes,inclusion,0.056
gpt41mini,ontonotes,inclusion,0.01
o4mini,ontonotes,inclusion,0.088
deepseek_v3,ontonotes,inclusion,0.02
llama1b,ontonotes,inclusion,0.026
llama3b,ontonotes,inclusion,0.007
llama8b,ontonotes,inclusion,0.026
claude4,ontonotes,hallucination,0.5
gpt41,ontonotes,hallucination,0.375
gpt41mini,ontonotes,hallucination,0.45
o4mini,ontonotes,hallucination,0.314
deepseek_v3,ontonotes,hallucination,0.289
llama1b,ontonotes,hallucination,0.379
llama3b,ontonotes,hallucination,0.259
llama8b,ontonotes,hallucination,0.421
